,Change,Unnamed: 0,Hour,Day,Month,Year,Mean,Delta1,Delta3,AQI,PM10,PM2.5,CO,NO2,O3,SO2,prec,lrad,shum,pres,temp,wind,srad
0,62.0,0,0,1,1,2018,62.0,62.0,62.0,108.0,165.0,62.0,1.6,91.0,2.0,19.0,50.0,735.0,0.02500000102500059,268112.0,275.82769989013667,60.0037679977417,694.5625
1,69.0,1,1,1,1,2018,69.0,14.0,76.0,101.0,148.0,76.0,1.8,99.0,2.0,18.0,50.0,735.0,0.02500000102500059,268112.0,275.82769989013667,60.0037679977417,694.5625
2,60.0,2,2,1,1,2018,60.0,-34.0,42.0,84.0,118.0,42.0,1.2,77.0,2.0,10.0,50.0,735.0,0.02500000102500059,268112.0,275.82769989013667,60.0037679977417,694.5625
3,52.25,3,3,1,1,2018,52.25,-13.0,-33.0,63.0,75.0,29.0,1.0,72.0,2.0,8.0,50.0,737.0625,0.025000000808000567,268208.0,275.89009979248044,60.005815994262704,779.9375
4,48.0,4,4,1,1,2018,48.0,2.0,-45.0,59.0,68.0,31.0,1.0,71.0,2.0,7.0,50.0,737.0625,0.025000000808000567,268208.0,275.89009979248044,60.005815994262704,779.9375
5,43.666666666666664,5,5,1,1,2018,43.66666666666666,-9.0,-20.0,57.0,63.0,22.0,0.8,67.0,2.0,6.0,50.0,737.0625,0.025000000808000567,268208.0,275.89009979248044,60.005815994262704,779.9375
6,39.714285714285715,6,6,1,1,2018,39.714285714285715,-6.0,-13.0,50.0,50.0,16.0,0.7,60.0,3.0,5.0,50.0,739.0,0.025000000820999967,267788.0,275.9104998779297,60.00391199493408,770.875
7,36.5,7,7,1,1,2018,36.5,-2.0,-17.0,41.0,41.0,14.0,0.7,61.0,3.0,5.0,50.0,739.0,0.025000000820999967,267788.0,275.9104998779297,60.00391199493408,770.875
8,33.77777777777778,8,8,1,1,2018,33.77777777777778,-2.0,-10.0,37.0,37.0,12.0,0.7,61.0,4.0,6.0,50.0,739.0,0.025000000820999967,267788.0,275.9104998779297,60.00391199493408,770.875
9,31.5,9,9,1,1,2018,31.5,-1.0,-5.0,36.0,36.0,11.0,0.7,58.0,8.0,6.0,50.0,740.4375,0.025000001057000832,267992.0,275.8963998413085,60.00351599121094,685.5
10,-0.13049951695536102,10,10,1,1,2018,29.63636363636364,0.0,-3.0,34.0,34.0,11.0,0.6,48.0,16.0,7.0,50.0,740.4375,0.025000001057000832,267992.0,275.8963998413085,60.00351599121094,685.5
11,-0.12200370455183085,11,11,1,1,2018,28.0,-1.0,-2.0,28.0,28.0,10.0,0.7,47.0,22.0,6.0,50.0,740.4375,0.025000001057000832,267992.0,275.8963998413085,60.00351599121094,685.5
12,-0.10940232030079335,12,12,1,1,2018,26.538461538461537,-1.0,-2.0,39.0,39.0,9.0,0.6,44.0,27.0,5.0,50.0,738.3125,0.0250000013539996,268260.0,275.8610000610352,60.00169199371338,685.0
13,-0.04453086693758147,13,13,1,1,2018,25.42857142857143,2.0,0.0,35.0,35.0,11.0,0.7,52.0,22.0,8.0,50.0,738.3125,0.0250000013539996,268260.0,275.8610000610352,60.00169199371338,685.0
14,0.052913064452653896,14,14,1,1,2018,24.8,5.0,6.0,54.0,57.0,16.0,1.0,61.0,20.0,12.0,50.0,738.3125,0.0250000013539996,268260.0,275.8610000610352,60.00169199371338,685.0
15,0.19706545979273252,15,15,1,1,2018,25.0,12.0,19.0,57.0,63.0,28.0,1.3,62.0,17.0,13.0,50.0,738.875,0.025000001763001087,268464.0,275.8579998779297,60.00193599700928,685.0
16,0.2963288731470549,16,16,1,1,2018,26.176470588235286,17.0,34.0,67.0,83.0,45.0,1.5,74.0,12.0,15.0,50.0,738.875,0.025000001763001087,268464.0,275.8579998779297,60.00193599700928,685.0
17,0.36213433031614845,17,17,1,1,2018,28.5,23.0,52.0,91.0,104.0,68.0,2.4,87.0,4.0,24.0,50.0,738.875,0.025000001763001087,268464.0,275.8579998779297,60.00193599700928,685.0
18,0.3635517898619503,18,18,1,1,2018,31.36842105263158,15.0,55.0,110.0,128.0,83.0,3.0,92.0,2.0,31.0,50.0,736.5625,0.02500000170399994,268768.0,275.82979980468747,60.00191599273682,685.0
